V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,target
1.086,0.682,2.429,1.184,0.296,-1.486,0.722,0.366,1.164,-0.03307235614231207,0.679,-2.115,0.463,1.164,0.054,0.622,1.165,-0.897,0.982,-0.818,-0.185,-0.337,-0.621,0.35,0.093,0.324,0.031,0.567,-0.454,0.03,0.654,0.718,-0.455,1.107,0.863,0.364,0.459,-1.821,1.743
0.905,0.234,2.292,1.138,-0.048,-0.929,0.829,0.513,0.681,-0.03307235614231207,1.12,-0.745,0.132,0.682,-0.01,0.28,1.529,-0.366,0.068,-1.3,-0.185,0.215,-0.259,0.351,0.601,0.266,0.301,0.441,-0.46,-0.147,1.483,0.232,0.49,0.534,0.273,0.364,1.14,-1.522,1.449
0.88,0.558,2.485,1.063,0.173,-0.573,0.854,0.592,0.845,-0.03307235614231207,0.465,-0.06,-0.127,0.632,-0.02,0.019,1.568,-0.366,0.398,-1.015,-0.712,0.125,-0.259,0.321,0.8,0.222,0.527,0.491,-0.456,-0.241,0.068,0.449,0.291,0.534,0.573,0.364,0.499,-1.854,1.368
1.298,1.095,2.625,0.86,0.866,-0.738,0.63,0.621,0.993,-0.03307235614231207,0.437,-0.447,0.977,0.797,0.063,0.659,1.435,-0.366,0.357,-1.644,-0.192,0.045,-0.259,0.3411044134692819,-0.615,0.276,1.023,0.571,2.146,0.957,0.15,1.077,0.502,-1.225,-0.74,0.3641731062503687,0.118,-1.88,1.727
1.629,0.35042033371151843,2.104,0.695,1.539,-1.481,0.429,0.617,1.67,-0.03307235614231207,0.499,-2.166,1.084,0.714,-0.21,1.302,1.118,-0.366,0.894,-0.868,-0.596,-0.134,-0.621,0.3411044134692819,-1.32,-0.224,0.098,0.697,2.142,1.539,0.333,0.36121099290780145,0.463,0.868,0.273,0.364,0.388,-1.493,1.591
1.291,1.009,1.216,0.56,1.102,-0.79,0.462,0.603,1.339,-0.03307235614231207,0.661,-0.461,1.12,-0.017,-0.235,1.438,1.366,-0.366,0.991,-0.965,-0.556,0.506,-0.259,0.333,-1.321,-0.015,-0.176,0.623,0.419,1.536,0.214,1.361,-0.166,-0.499,0.08588855511188385,0.364,0.707,0.03,1.107
0.98,1.125,1.523,0.72,0.979,-0.722,0.364,0.446,1.185,-0.03307235614231207,0.326,-0.188,1.204,0.632,-0.264,1.304,1.21,-0.366,0.529,-1.282,0.347,0.012,-0.063,0.328,-1.316,-0.024,0.795,0.683,2.144,1.278,-0.122,1.204,0.543,-0.785,0.273,0.3641731062503687,0.382,-0.483,1.516
1.1,1.355,1.284,0.671,0.976,-0.634,0.443,0.524,1.457,-0.03307235614231207,0.644,-0.155,0.95,0.057,-0.235,1.13,1.223,-0.366,-0.123,-1.126,0.425,0.365,-0.243,0.322,-1.316,0.063,0.324,0.64,2.144,1.172,-0.341,0.36121099290780145,0.02,0.534,0.273,0.3641731062503687,0.613,-0.193,1.426
0.875,0.724,1.146,0.728,0.944,-0.638,0.163,0.415,0.599,-0.03307235614231207,0.137,-0.134,0.778,-0.359,-0.261,1.258,0.594,-0.897,0.06413168700025532,-0.409,0.288,0.626,-0.063,0.3411044134692819,-1.318,-0.229,-0.495,0.484,2.142,1.125,0.374,0.727,-0.222,-0.07103404157089253,0.863,0.364,-0.299,-0.28,0.998
0.875,0.724,1.169,0.729,0.944,-0.94,0.171,0.415,0.599,-0.03307235614231207,0.506,-0.612,0.772,-0.157,-0.218,1.258,0.594,-0.897,0.192,-0.44,0.288,0.492,-0.063,0.362,-1.317,-0.256,-0.593,0.509,2.144,1.125,0.354,0.727,-0.226,-0.07103404157089253,0.273,0.364,0.283,-0.403,0.99
0.785,0.509,1.255,0.367,0.407,-1.521,0.581,0.562,0.76,-0.03307235614231207,0.45,-1.851,0.993,1.023,-0.111,0.618,0.705,-0.587,0.534,-0.435,-0.09,-0.279,0.133,0.343,-1.317,-0.239,-1.175,0.481,0.416,0.582,0.106,0.541,0.834,0.534,-0.29,0.3641731062503687,0.35,-1.046,1.213
0.575,0.348,1.168,0.278,0.283,-1.334,0.612,0.561,0.542,-0.03307235614231207,0.592,-1.58,0.816,0.982,0.117,0.513,0.81,-0.366,0.53,-0.848,-0.238,-0.257,-0.063,0.351,-1.317,-0.255,-1.171,0.366,0.415,0.517,-0.245,0.684,0.177,0.534,0.273,0.364,0.582,-0.654,0.518
0.538,0.319,1.569,0.366,0.216,-1.298,0.674,0.572,0.599,-0.03307235614231207,-0.187,-1.256,0.645,0.783,0.073,0.513,0.865,-0.366,0.523,-0.915,-0.102,0.01,0.133,0.35,-1.317,-0.097,-1.077,0.433,0.418,0.072,-0.13,0.515,0.213,0.534,0.273,0.364,-0.081,-1.474,0.558
1.475,1.171,1.81,0.365,0.936,-1.191,0.734,0.592,1.675,-0.03307235614231207,0.6,-1.24,0.66,0.819,0.144,0.432,1.4,0.165,0.979,-1.501,0.639,-0.11,0.133,0.339,-1.318,0.109,-0.497,0.716,-0.458,0.319,0.07,1.053,1.182,1.107,0.273,0.364,0.511,-1.057,1.606
0.908,0.781,1.198,0.627,0.621,-0.901,0.753,0.645,1.035,-0.03307235614231207,0.754,-0.671,0.901,0.802,-0.138,1.024,1.321,0.165,0.979,-1.344,0.197,-0.135,0.133,0.35,-1.318,0.088,-0.374,0.428,-0.455,0.9,0.605,1.087,1.628,1.107,0.273,0.364,0.812,-0.004,1.244
0.955,0.688,1.526,0.409,0.507,-1.524,0.781,0.645,0.914,-0.03307235614231207,0.181,-1.909,0.911,1.37,-0.007,1.042,1.13,0.077,0.986,-1.643,0.032,-0.574,0.133,0.325,-1.319,-0.006,0.088,0.512,-0.45,0.996,0.174,0.832,-0.037,1.107,0.273,0.364,0.129,-0.909,1.469
0.659,0.617,1.473,0.14,0.182,-1.118,0.798,0.662,0.411,-0.03307235614231207,0.562,-1.189,0.541,1.208,-0.047,1.044,1.138,-0.189,0.981,0.053966723394432585,-0.564,-0.429,0.133,0.351,-1.318,-0.127,0.072,0.41,-0.453,0.819,0.514,0.727,0.544,1.107,0.273,0.364,0.403,-0.751,1.48
0.15,-0.056,0.919,-0.076,-0.069,-0.806,0.762,0.649,0.127,-0.03307235614231207,0.941,-0.413,-0.016,1.014,-0.046,0.397,0.961,0.165,0.976,-1.265,-0.986,-0.256,0.133,0.336,-1.319,-0.206,0.305,0.247,-0.458,0.047,1.135,0.262,1.625,1.107,0.273,0.364,1.407,-0.003,-0.029
0.37,0.168,2.069,1.132,-0.34,-1.654,0.762,0.537,0.242,-0.03307235614231207,0.266,-2.107,-0.213,0.615,-0.387,-0.719,1.015,0.165,0.352,-0.913,0.395,-0.176,0.133,0.3411044134692819,0.232,0.461,-0.514,0.206,1.121,-0.586,-0.165,0.449,-0.658,0.304,0.273,0.3641731062503687,0.192,-0.34174645390070924,0.633
0.528,0.456,0.973,1.302,1.106,-0.663,0.924,0.678,0.793,-0.03307235614231207,0.444,-0.143,0.374,-0.333,-0.413,-0.923,1.152,0.165,0.07,-0.782,0.441,0.583,0.133,0.3411044134692819,-0.553,0.382,-0.707,0.527,1.121,-1.112,-0.486,0.511,-0.703,-0.04,-0.346,0.3641731062503687,0.312,-0.026,0.808
0.896,0.767,0.804,1.396,1.202,-0.797,0.858,0.678,1.115,-0.03307235614231207,0.13,-0.41,0.436,0.211,-0.548,-0.549,0.728,0.165,0.438,-0.898,0.561,0.145,0.133,0.3411044134692819,-1.321,-0.054,-0.687,0.589,-0.442,-0.365,-0.164,0.691,-0.531,0.362,-0.102,0.3641731062503687,0.139,-0.224,1.131
1.587,0.35042033371151843,0.669,1.423,0.13554063955030357,-0.583,0.813,0.678,1.551,-0.03307235614231207,0.51,-0.056,1.348,-1.034,-0.579,0.63,0.738,0.165,0.44,-0.36,1.016,0.858,-0.063,0.3411044134692819,-1.322,-0.348,-1.496,0.3359893617021276,-0.46,0.516,0.566,1.409,0.673,0.362,-0.102,0.3641731062503687,0.364,0.168,1.509
1.55,1.293,1.821,1.455,1.17,-1.612,0.866,0.627,1.615,-0.03307235614231207,0.814,-2.183,0.147952440767372,0.314,-0.665,1.69,1.11,0.165,0.434,-1.187,1.125,-0.185,0.133,0.3411044134692819,-1.322,-0.48,-1.025,0.692,-0.46,1.578,-0.103,0.36121099290780145,0.211,0.419,0.048,0.3641731062503687,0.747,-1.693,1.893
0.975,0.819,0.975,1.426,0.974,-1.02,0.908,0.686,0.725,-0.03307235614231207,0.854,-0.748,1.373,-0.562,-0.498,1.781,1.353,0.165,0.434,-1.122,0.939,0.66,-0.063,0.3411044134692819,-1.322,-0.214,-0.975,0.51,-0.46,1.26,0.405,1.112,0.737,0.419,0.048,0.3641731062503687,1.31,-0.086,1.097
0.146,0.231,0.53,0.308,-0.208,-0.819,1.032,0.822,0.224,-0.03307235614231207,0.776,-0.599,-0.122,0.444,-0.315,-1.072,0.899,0.165,0.163,-1.101,0.267,0.129,0.133,0.343,-0.467,0.472,-0.522,0.251,-0.453,-1.01,-0.021,0.413,-0.35,0.017,-0.177,0.364,1.269,0.277,0.099
0.63,0.648,1.001,0.308,0.202,-1.265,1.018,0.822,0.896,-0.03307235614231207,-0.03,-1.339,0.064,-0.143,-0.276,-0.663,0.71,0.165,0.162,-0.772,0.267,0.486,0.133,0.344,-0.469,0.304,-0.903,0.531,-0.46,-0.519,1.443,0.427,-0.686,0.017,-0.177,0.364,-0.065,-0.618,0.581
0.575,0.375,0.525,0.365,0.424,-0.867,0.95,0.785,0.673,-0.03307235614231207,0.271,-0.736,0.334,0.254,-0.112,-0.663,0.829,0.165,-0.875,-0.7,0.624,0.12,-0.063,0.347,-1.028,0.269,-0.992,0.36,-0.453,-0.519,0.313,0.679,-0.473,1.007,0.451,0.364,0.119,0.149,0.508
0.478,0.327,1.532,1.017,-0.402,-0.646,1.522,1.038,0.806,-0.03307235614231207,-0.245,0.002,-0.84,-0.628,-0.128,-1.169,1.323,-0.366,-0.027,-0.69,-0.867,1.113,0.133,0.3411044134692819,1.22,0.656,-0.748,0.521,-0.459,-1.377,-0.063,0.406,-0.655,-0.097,-0.177,0.3641731062503687,-0.366,-1.091,0.527
-0.726,0.35042033371151843,-0.021,1.027,-0.173,-0.71,1.249,1.085,-0.495,-0.03307235614231207,0.464,-0.63,0.054,0.557,-0.215,-1.172,1.221,0.165,0.45,-1.241,-1.314,0.034,0.133,0.351,0.287,0.445,-0.578,0.097,-0.457,-1.377,1.141,0.036,0.507,0.045,-0.146,0.3641731062503687,1.061,1.081,-0.749
0.547,0.059,1.288,1.413,-0.256,-0.351,1.247,1.072,0.522,-0.03307235614231207,0.955,0.531,-0.511,-1.772,-0.305,-0.789,0.973,0.165,-0.375,-1.0,-0.707,1.499,0.133,0.3411044134692819,0.799,-0.25,-0.151,0.478,1.273,-0.766,-0.196,0.082,-0.721,0.108,0.104,0.3641731062503687,0.429,-0.399,0.785
0.947,0.911,0.989,0.959,0.935,-1.671,0.877,1.068,1.037,-0.03307235614231207,1.39,-0.37174290780141844,1.186,0.219,-0.639,1.446,0.678,0.165,-0.379,-1.09,-1.632,-0.022,0.133,0.322,-1.322,-1.51,-0.739,0.582,-0.457,1.214,1.131,0.733,-0.115,-0.327,-0.093,0.3641731062503687,1.007,-0.718,2.538
0.877,0.702,1.341,0.607,0.378,-0.743,1.078,1.061,0.523,-0.03307235614231207,-0.028,-0.478,0.633,0.62,-0.681,1.248,1.198,-0.366,-0.546,-1.459,-1.051,-0.262,0.133,0.329,0.21,-0.667,0.294,0.455,-0.461,0.703,-0.075,0.627,-0.579,-0.422,-0.304,0.364,-0.35,-0.622,1.236
0.784,0.533,1.897,0.768,0.2,-1.629,1.088,1.061,0.629,-0.03307235614231207,-0.109,-0.37174290780141844,0.526,0.662,-0.5,1.102,1.206,-0.366,0.525,-1.809,-1.074,-0.162,0.133,0.343,0.238,-0.149,0.186,0.426,-0.459,0.385,-0.108,0.619,-0.64,-0.155,-0.402,0.364,-0.144,-1.532,0.556
0.866,0.34,1.804,1.013,-0.088,-1.218,1.19,1.105,0.857,-0.03307235614231207,0.081,-1.165,-0.037,-0.244,-0.273,0.369,1.346,-0.366,0.529,-1.435,-0.289,0.498,0.133,0.355,0.238,0.192,0.058,0.494,-0.457,-0.239,0.804,0.407,-0.325,-0.097,-0.29,0.364,-0.43,-1.313,0.765
0.898,1.152,0.682,2.121,0.957,-0.998,0.592,0.594,0.953,-0.03307235614231207,0.69,-0.843,0.919,0.525,-0.87,1.27,0.724,0.165,-0.198,-1.518,0.871,0.861,0.133,0.3411044134692819,-1.322,-0.551,-0.197,0.423,-0.457,1.342,-0.381,1.067,-0.898,-0.499,-0.571,0.364,0.407,0.322,1.24
1.004,0.92,1.314,1.993,0.78,-1.423,0.691,0.594,1.078,-0.03307235614231207,0.568,-1.479,0.852,0.224,-0.917,1.27,0.703,0.165,-0.202,-1.056,0.629,1.013,0.133,0.3411044134692819,-1.322,-0.678,-0.196,0.574,0.732,1.026,-0.133,1.015,-0.861,-0.451,-0.43,0.364,0.497,-0.756,1.69
0.706,0.965,0.81,2.153,0.9,-0.635,0.726,0.645,0.787,-0.03307235614231207,0.945,-0.059,0.894,0.414,-0.859,0.841,0.773,0.43,-0.207,-1.304,0.256,0.882,0.133,0.32,-1.322,-0.605,-0.114,0.397,0.731,0.737,-0.064,1.199,-0.705,-0.384,-0.29,0.364,1.317,0.181,1.211
0.536,0.629,0.737,1.968,0.641,-0.536,0.694,0.654,0.843,-0.03307235614231207,1.227,0.157,0.72,-1.027,-0.923,0.715,0.766,0.43,-0.207,-1.347,-0.311,1.792,0.133,0.33,-1.317,-0.632,-0.657,0.27,0.731,0.737,1.055,1.248,-0.44,-0.384,-0.29,0.364,0.639,0.786,1.118
0.252,0.047,0.748,1.587,0.387,-1.488,0.504,0.654,-0.088,-0.03307235614231207,-0.706,-2.12,0.394,0.822,-0.828,0.652,0.32,0.43,-0.201,-1.041,-0.622,0.506,0.133,0.3411044134692819,-1.317,-0.716,-0.254,0.358,0.733,0.788,0.541,0.318,-0.047,-0.384,-0.29,0.364,-0.224,-0.48,0.827
0.817,0.681,1.591,1.437,0.249,-1.643,0.618,0.537,0.801,-0.03307235614231207,-0.061,-2.099,0.427,0.534,-0.672,0.544,0.536,0.165,-0.202,-1.046,-0.514,0.826,0.133,0.321,0.318,-0.655,-0.152,0.589,0.735,0.389,-0.144,0.602,-0.657,-0.384,-0.29,0.364,-0.121,-1.538,1.013
1.163,1.044,1.771,1.539,0.396,-0.708,0.779,0.537,1.261,-0.03307235614231207,0.031,-0.113,0.179,-0.375,-0.887,0.2,0.631,0.165,-0.203,-1.231,-0.389,1.488,0.133,0.336,0.318,-0.404,-0.31,0.627,0.734,0.128,0.34,0.928,-0.591,-0.384,-0.29,0.364,-0.072,-1.641,1.304
1.109,1.311,1.435,1.761,1.188,-1.286,0.804,0.603,1.163,-0.03307235614231207,0.711,-1.401,0.492,0.646,-1.124,0.168,1.092,0.165,-0.205,-1.633,-0.104,0.781,0.133,0.328,0.373,-0.294,0.07,0.688,0.734,0.073,1.244,1.085,0.177,-0.384,-0.29,0.364,0.821,-1.202,1.319
1.287,0.35042033371151843,1.603,1.665,0.987,-0.771,0.89,0.652,1.51,-0.03307235614231207,0.724,-0.365,0.374,0.66,-1.056,0.255,1.083,0.165,-0.214,-1.522,-0.104,0.808,0.133,0.3411044134692819,0.372,-0.222,0.226,0.732,0.73,0.332,0.107,1.285,0.347,-0.384,-0.29,0.364,0.773,-1.007,1.594
1.218,0.35042033371151843,1.566,1.768,1.313,-0.452,0.97,0.72,1.604,-0.03307235614231207,0.567,0.262,0.844,-0.574,-0.661,0.59,1.441,0.165,-0.0,-1.574,0.255,1.582,0.133,0.3411044134692819,-1.316,-0.01,-0.008,0.661,0.734,0.86,0.634,0.36121099290780145,0.039,-0.384,-0.29,0.364,0.566,-0.507,1.53
0.908,0.697,1.013,-0.294,0.581,-0.4614237588652482,-0.161,0.215,0.79,-0.03307235614231207,-1.248,-0.37174290780141844,0.743,0.693,-1.056,1.394,-0.372,-0.897,-0.119,-1.128,0.257,0.527,0.314,0.3411044134692819,-0.946,-0.64,-0.265,0.512,1.281,1.329,0.129,0.247,-0.405,-0.327,-0.009,0.364,-1.536,-1.178,0.02
0.724,0.579,1.147,0.004,0.155,-1.638,0.108,0.22,0.545,-0.03307235614231207,-0.038,-1.996,0.41,0.201,-0.887,0.638,0.214,-0.897,-0.112,-1.091,1.577,0.979,0.133,0.3411044134692819,-0.598,-0.061,-0.242,0.382,1.282,0.895,0.474,0.616,-0.314,-0.288,0.024,0.364,-0.326,-0.928,-0.086
0.688,0.823,1.16,1.677,0.144,-1.367,0.462,0.327,0.797,-0.03307235614231207,0.03,-1.677,0.024,0.829,-1.065,-0.177,0.574,-0.366,0.063,-1.668,-0.186226454294,0.593,0.133,0.329,0.232,0.36,0.398,0.495,1.279,-0.223,0.829,0.947,0.588,-0.155,0.16,0.364,-0.475,-0.842,1.754
0.707,1.145,1.406,1.026,0.699,-0.704,0.937,0.7,0.754,-0.03307235614231207,0.437,-0.255,0.443,0.774,-0.916,-1.393,1.104,0.165,0.077,0.053966723394432585,-0.36,0.802,0.133,0.3411044134692819,1.219,-0.155,1.286,0.579,1.279,-1.075,0.426,0.816,-0.227,-1.072,0.08588855511188385,0.364,0.188,-1.185,1.491
0.79,0.613,1.866,0.909,0.183,-0.592,1.019,0.744,1.002,-0.03307235614231207,0.512,-0.08,-0.385,0.462,-0.797,-1.383,1.081,0.165,0.074,-1.669,-0.693,1.019,0.133,0.3411044134692819,1.219,-0.193,0.852,0.568,1.275,-0.812,-0.224,0.702,0.023,-0.986,-0.805,0.364,0.621,-1.667,1.08
0.946,0.69,2.215,1.14,0.231,-1.111,1.128,0.816,1.282,-0.03307235614231207,0.485,-0.958,-0.459,0.666,-0.59,-0.972,1.359,0.165,0.069,-1.436,-0.698,0.927,0.133,0.3411044134692819,1.22,-0.128,0.345,0.488,1.28,-0.812,-0.145,0.745,-0.213,-0.04,0.273,0.364,0.486,-2.283,1.082
1.12,1.017,1.761,1.055,0.5,-0.787,1.217,0.816,1.323,-0.03307235614231207,0.333,-0.465,-0.522,0.19,-0.619,-0.972,1.359,0.165,0.084,-1.314,-0.717,1.219,0.133,0.328,1.22,0.076,-0.216,0.684,1.277,-0.568,-0.299,0.593,-0.363,-0.04,0.273,0.364,0.572,-1.067,1.043
1.31,0.866,1.934,1.048,0.735,-0.777,1.272,0.938,1.643,-0.03307235614231207,0.178,-0.245,-0.027,-0.453,-0.791,-0.481,1.541,0.165,0.133,-0.987,-0.09,1.559,0.133,0.326,-0.189,0.265,-0.813,0.634,1.28,-0.25,-0.039,0.941,0.195,-0.04,0.273,0.364,0.053,-1.449,1.256
0.971,0.929,1.619,1.089,1.001,-1.474,1.222,0.959,1.26,-0.03307235614231207,0.059,-2.041,0.616,0.949,-0.835,0.272,1.449,0.165,0.835,-1.072,-0.091,0.585,0.133,0.3411044134692819,-0.462,0.223,-0.629,0.603,1.277,0.249,-0.386,0.98,-0.92,0.534,0.08588855511188385,0.364,0.591,-1.504,1.256
0.977,0.654,0.894,-0.118,0.078,-1.156,-0.315,0.4343865248226951,0.829,0.042,0.985,-1.436,-0.486,0.709,-0.851,-0.503,0.196,-0.366,0.124,-1.485,0.002,-0.706,0.133,0.3411044134692819,0.233,-0.69,0.929,0.283,1.526,-0.393,0.048,0.197,-0.733,0.534,0.835,0.3641731062503687,0.997,-1.271,1.075
0.353,-0.049,-0.355,-0.026,-0.311,-1.378,0.5043315602836879,-0.915,-0.266,0.042,-0.376,-1.573,0.183,0.605,-1.154,0.569,-1.346,-0.366,0.439,-1.209,0.865,-1.081,0.314,0.336,0.837,-0.587,-0.206,0.048,-0.45,0.376,0.54,-0.734,-0.016,-0.212,0.723,0.364,-0.887,-1.84,0.164
-0.688,-0.515,-0.068,0.177,0.13554063955030357,-0.525,-0.807,-0.915,-0.124,0.042,-0.081,0.358,-1.072,0.279,-1.134,-0.321,-0.706,0.165,0.442,-1.836,0.339,-0.625,0.314,0.347,0.837,-0.669,0.238,0.267,-0.457,-1.128,-0.431,-0.714,-0.835,0.419,0.498,0.364,0.078,-1.334,0.648
1.326,0.35042033371151843,0.308,-0.505,1.046,-0.452,-0.394,-0.556,1.201,0.042,0.221,0.6,1.011,-1.109,-1.238,0.853,0.421,0.43,1.174,-0.804,-0.585,0.907,0.314,0.338,-1.316,-0.483,-0.797,0.583,1.289,0.833,0.689,1.168,0.279,1.336,0.835,0.364,0.088,0.164,1.053
-0.208,-0.132,0.08,0.142,-0.861,-0.488,0.5043315602836879,0.4343865248226951,-0.06,-0.03307235614231207,-0.291,0.702,-1.063,0.409,-0.749,-0.381,0.062,0.696,0.465,0.205,-0.561,-0.354,0.51,0.3411044134692819,1.615,0.037,-1.097,0.134,-0.455,-1.562,-0.843,-0.227,-0.91,0.156,0.005,0.364,-0.327,0.274,-0.325
0.761,0.52,0.765,0.231,0.44,-0.884,-0.8,0.4343865248226951,0.54,-0.03307235614231207,-0.164,-0.251,0.641,0.276,-0.596,0.216,0.208,0.43,0.252,0.327,-0.29,-0.299,0.314,0.3411044134692819,0.795,-0.255,-1.335,0.429,0.523,0.669,0.584,0.229,0.536,0.132,-0.121,0.3641731062503687,-0.296,-0.99,0.835
1.243,0.979,1.753,0.327,0.608,-1.366,-0.657,-1.043,1.223,-0.03307235614231207,0.514,-1.322,0.575,0.529,-0.561,0.216,0.549,0.43,0.524,0.421,0.192,-0.498,0.314,0.3411044134692819,0.233,-0.192,-1.207,0.447,0.518,0.58,1.141,0.582,0.243,-0.155,-0.402,0.3641731062503687,0.437,-1.787,1.111
0.875,0.439,0.982,0.416,0.131,-1.033,-0.294,-0.861,0.455,-0.03307235614231207,0.654,-0.801,0.664,1.089,-0.756,0.583,0.952,0.43,0.305,0.127,0.487,-0.911,0.51,0.3411044134692819,0.234,0.125,-1.253,0.36,0.519,0.327,1.008,0.354,0.871,-0.155,-0.402,0.364,0.632,-0.819,0.825
0.214,0.398,0.979,-0.889,-0.024,-0.867,-0.092,0.16,-0.124,-0.03307235614231207,-0.693,-1.115,0.687,0.724,-0.057,0.965,0.355,-0.897,0.983,0.125,-0.465,-1.463,0.51,0.3411044134692819,-0.617,-0.203,-1.23,0.263,-0.436,0.516,-0.005,0.317,0.075,1.107,0.273,0.364,-0.859,-1.19,0.207
0.773,0.585,0.838,-0.819,0.013,-0.211,-0.028,0.149,0.343,-0.03307235614231207,-0.54,0.024,0.29,0.505,-0.047,0.232,0.544,-0.366,0.981,-0.33,0.073,-1.239,0.51,0.317,-0.048,-0.007,-0.696,0.555,-0.454,-0.244,0.26,0.25,0.018,1.107,0.273,0.364,-0.524,-0.47,0.449
0.923,0.798,1.091,-0.776,0.235,-0.406,0.076,0.191,0.966,-0.03307235614231207,0.032,-0.247,0.141,0.41,0.365,-0.073,0.544,-0.764,0.979,-0.005,0.146,-1.246,0.353,0.323,-0.048,0.161,-0.911,0.552,-0.441,-0.244,0.153,0.806,-0.734,1.107,0.273,0.364,-0.076,-0.756,0.668
0.786,0.971,0.747,-0.362,0.333,-0.333,0.116,0.191,0.855,-0.03307235614231207,0.562,-0.375,0.492,0.984,0.602,-0.116,0.938,-0.366,0.984,-0.607,0.905,-1.642,0.133,0.3411044134692819,-0.049,0.127,-0.342,0.476,-0.457,-0.019,-0.163,0.86,-0.338,1.107,0.273,0.364,-0.004,0.094,1.602
0.719,0.875,0.876,-0.487,0.295,-0.26,0.18,0.285,0.883,-0.03307235614231207,1.613,-0.084,0.58,0.88,0.537,-0.116,0.958,0.032,0.979,-0.283,-0.044,-1.589,0.51,0.321,-0.186,-0.25,-0.36,0.479,-0.454,0.24,0.322,0.92,0.418,1.107,0.273,0.364,0.989,-0.31,1.516
0.673,0.534,0.976,-0.707,0.088,-0.438,0.269,0.325,0.7,-0.03307235614231207,0.535,-0.178,0.526,0.062,0.186,0.103,0.997,0.165,0.986,-0.795,-0.044,-0.869,0.51,0.345,-0.322,-0.264,-0.414,0.471,-0.458,0.275,0.268,0.798,0.465,1.107,0.273,0.364,0.779,-0.632,0.57
0.535,0.496,1.084,-0.605,-0.024,-0.653,0.309,0.38,0.6,-0.03307235614231207,-0.122,-0.637,0.3,0.871,-0.062,0.002,0.897,-0.277,0.987,-0.303,0.143,-1.527,0.51,0.331,-0.322,-0.056,-0.06,0.395,-0.453,-0.159,-0.172,0.731,0.181,1.107,0.273,0.364,-0.093,-1.121,0.388
0.293,0.162,0.668,-0.451,-0.105,-0.065,0.33,0.421,0.309,-0.03307235614231207,-0.507,0.299,0.171,0.988,0.207,-0.199,0.848,-0.366,0.985,-0.552,0.146,-1.602,0.661,0.331,-0.049,0.189,0.239,0.389,0.661,-0.397,0.031,0.659,0.696,1.107,0.273,0.364,-0.552,-0.055,0.316
0.88,0.379,0.828,-0.313,-0.199,-0.245,0.325,0.421,0.833,-0.03307235614231207,-0.601,0.016,-0.047,0.306,0.603,-0.559,0.771,-0.366,0.985,-0.825,0.39,-0.994,0.872,0.334,-0.049,0.243,0.187,0.597,0.657,-0.408,-0.113,0.693,0.596,1.107,0.273,0.364,-0.576,-0.243,1.021
-0.395,-0.007,0.289,0.458,-0.337,-0.125,0.601,0.79,-0.137,-0.03307235614231207,-0.34,0.215,-0.393,0.919,1.545,-1.26,0.621,-0.366,0.293,-1.177,0.038,-1.181,0.51,0.33,0.233,0.287,0.408,0.301,-0.455,-1.041,-0.086,0.32,-0.191,-0.422,-0.852,0.364,-0.274,0.06,-0.003
0.4,0.397,0.674,0.503,-0.067,-0.047,0.53,0.787,0.365,-0.03307235614231207,-0.501,0.328,-0.317,0.013,1.53,-0.952,0.528,-0.366,0.352,-0.755,0.042,-0.495,0.51,0.331,0.234,0.118,0.187,0.519,-0.458,-0.882,0.593,0.506,0.244,0.113,-0.627,0.364,-0.619,-0.338,0.385
1.155,0.751,0.673,0.868,0.306,-0.105,0.417,0.728,1.103,-0.03307235614231207,-0.219,0.182,-0.311,0.263,1.507,-0.797,0.528,-0.366,0.428,-1.615,0.658,-0.728,0.51,0.3411044134692819,-0.023,-0.067,0.163,0.662,-0.46,-0.723,1.061,0.723,1.51,0.288,-0.534,0.364,-0.373,-0.233,1.002
0.798,0.337,0.867,0.718,0.339,-0.348,0.872,0.899,0.796,-0.03307235614231207,-0.186,-0.116,0.361,1.214,1.052,-0.355,1.174,0.43,0.533,-0.89,0.37,-1.406,1.445,0.344,0.182,0.15,-0.366,0.495,0.339,-0.292,0.63,0.852,1.74,0.534,-0.29,0.364,0.128,-0.663,0.727
0.937,0.54,0.915,0.683,0.249,-0.302,0.906,0.899,0.962,-0.03307235614231207,0.269,0.073,0.253,1.641,1.186,0.097,1.107,0.43,0.521,-0.985,0.394,-1.65,1.288,0.331,0.094,-0.064,-0.123,0.514,0.339,-0.123,0.173,0.791,0.474,0.534,-0.29,0.364,0.298,-0.672,0.856
0.96,0.663,0.743,0.746,0.542,-0.299,0.897,0.899,1.114,-0.03307235614231207,0.564,-0.08,0.252,1.033,0.953,0.097,1.097,0.43,0.523,-0.753,0.402,-1.104,1.068,0.334,-0.084,-0.129,-0.175,0.528,0.335,-0.123,-0.011,0.859,0.119,0.534,-0.29,0.364,0.397,0.02,1.078
0.888,0.706,1.019,0.855,0.898,-0.31,0.848,0.925,1.145,-0.03307235614231207,0.317,-0.151,0.486,1.139,1.139,0.312,1.007,0.43,0.529,-0.477,0.346,-1.258,0.872,0.334,-0.831,-0.225,-0.501,0.741,0.337,0.068,0.737,1.196,0.319,0.534,-0.29,0.364,0.42,-0.62,1.187
